# Stability boundary coordinates (det = 0)
# Columns: C11   C22   C12   x   y
  2.28529575   0.70929361  -0.78800107   0.31757120  -0.31456329
  2.30439693   0.69019243  -0.76842522   0.32033478  -0.31062988
  2.30439693   0.69019243  -0.76842522   0.32267120  -0.30720852
  2.30439693   0.69019243  -0.76842522   0.32441401  -0.30477617
  2.30088948   0.67156120  -0.73836854   0.32883693  -0.29804042
  2.31876459   0.65368609  -0.71815330   0.33424791  -0.29042648
  2.31876459   0.65368609  -0.71815330   0.33512670  -0.28908228
  2.31876459   0.65368609  -0.71815330   0.33695259  -0.28636677
  2.33613821   0.63631247  -0.69750547   0.34009575  -0.28153823
  2.33613821   0.63631247  -0.69750547   0.34124421  -0.28005189
  2.33613821   0.63631247  -0.69750547   0.34259404  -0.27828269
  2.35299988   0.61945081  -0.67643749   0.34744876  -0.27115167
  2.35299988   0.61945081  -0.67643749   0.34986169  -0.26799861
  2.36933943   0.60311126  -0.65496204   0.35371936  -0.26233615
  2.36933943   0.60311126  -0.65496204   0.35650299  -0.25871594
  2.38514702   0.58730366  -0.63309208   0.36002628  -0.25355912
  2.40041314   0.57203754  -0.61084076   0.36333656  -0.24875609
  2.40041314   0.57203754  -0.61084076   0.36636163  -0.24479501
  2.40041314   0.57203754  -0.61084076   0.36850871  -0.24207336
  2.41512859   0.55732209  -0.58822149   0.37273882  -0.23603425
  2.41512859   0.55732209  -0.58822149   0.37404996  -0.23441650
  2.42928450   0.54316619  -0.56524790   0.37919764  -0.22728232
  2.42928450   0.54316619  -0.56524790   0.37935838  -0.22709210
  2.42928450   0.54316619  -0.56524790   0.37982128  -0.22648081
  2.44287234   0.52957834  -0.54193383   0.38570690  -0.21850026
  2.44287234   0.52957834  -0.54193383   0.38913356  -0.21426202
  2.48010932   0.51448004  -0.52532537   0.39233621  -0.20970807
  2.45588394   0.51656674  -0.51829332   0.39194340  -0.20474405
  2.43190415   0.51870510  -0.51131310   0.38808904  -0.20509035
  2.43190415   0.51870510  -0.51131310   0.38695545  -0.20560557
  2.43190415   0.51870510  -0.51131310   0.38654724  -0.20580076
  2.43190415   0.51870510  -0.51131310   0.38546688  -0.20603634
  2.40816756   0.52089533  -0.50438401   0.38077770  -0.20848881
  2.39550515   0.53355774  -0.52739009   0.37830436  -0.20996316
  2.37218206   0.53562737  -0.52019769   0.37492842  -0.21068368
  2.37218206   0.53562737  -0.52019769   0.37299859  -0.21130109
  2.34909619   0.53775056  -0.51305731   0.37012578  -0.21333364
  2.34909619   0.53775056  -0.51305731   0.36848235  -0.21370666
  2.31355915   0.55261362  -0.52773507   0.36336315  -0.21572597
  2.31355915   0.55261362  -0.52773507   0.36223498  -0.21628152
  2.31355915   0.55261362  -0.52773507   0.36137062  -0.21659721
  2.27808470   0.56770071  -0.54154436   0.35527442  -0.21976064
  2.27808470   0.56770071  -0.54154436   0.35342288  -0.22078687
  2.25605450   0.56962811  -0.53395887   0.35026613  -0.22180358
  2.25605450   0.56962811  -0.53395887   0.34921728  -0.22259580
  2.25605450   0.56962811  -0.53395887   0.34848082  -0.22281771
  2.24269654   0.58298608  -0.55449154   0.34480599  -0.22518659
  2.22108038   0.58478202  -0.54666980   0.34116726  -0.22644430
  2.22108038   0.58478202  -0.54666980   0.34061815  -0.22674735
  2.22108038   0.58478202  -0.54666980   0.33979147  -0.22704140
  2.18621809   0.60010469  -0.55853355   0.33332470  -0.23055944
  2.18621809   0.60010469  -0.55853355   0.32975101  -0.23223686
  2.16523678   0.60182500  -0.55053940   0.32727529  -0.23396485
  2.16523678   0.60182500  -0.55053940   0.32517424  -0.23483233
  2.13092388   0.61715362  -0.56134427   0.32010329  -0.23740478
  2.13092388   0.61715362  -0.56134427   0.31646527  -0.23954279
  2.11691984   0.63115766  -0.57975009   0.31362917  -0.24129656
  2.09676988   0.63259814  -0.57132542   0.31084433  -0.24258530
  2.09676988   0.63259814  -0.57132542   0.30895715  -0.24395208
  2.09676988   0.63259814  -0.57132542   0.30692570  -0.24493822
  2.08252836   0.64683966  -0.58911963   0.30423282  -0.24662432
  2.06279666   0.64813483  -0.58049148   0.30191094  -0.24777191
  2.04833765   0.66259384  -0.59767542   0.29637540  -0.25110089
  2.04833765   0.66259384  -0.59767542   0.29320588  -0.25292113
  2.01436896   0.67839709  -0.60542716   0.28502190  -0.25787433
  2.01436896   0.67839709  -0.60542716   0.28472826  -0.25806266
  2.01436896   0.67839709  -0.60542716   0.28465585  -0.25811909
  2.01436896   0.67839709  -0.60542716   0.28453080  -0.25819441
  1.99930985   0.69345620  -0.62163801   0.27929212  -0.26186229
  1.98064311   0.69422678  -0.61238508   0.27663832  -0.26338157
  1.98064311   0.69422678  -0.61238508   0.27396745  -0.26534667
  1.96542071   0.70944918  -0.62798576   0.26915188  -0.26816498
  1.96542071   0.70944918  -0.62798576   0.26874910  -0.26842541
  1.96542071   0.70944918  -0.62798576   0.26854339  -0.26854339
  1.94982003   0.72504986  -0.64320817   0.26298330  -0.27257571
  1.94982003   0.72504986  -0.64320817   0.26080158  -0.27392847
  1.93181400   0.72542722  -0.63355383   0.25711953  -0.27674165
  1.91608414   0.74115708  -0.64816613   0.25314366  -0.27930099
  1.91608414   0.74115708  -0.64816613   0.25118582  -0.28083846
  1.90000042   0.75724080  -0.66238799   0.24554322  -0.28465283
  1.90000042   0.75724080  -0.66238799   0.24511809  -0.28499815
  1.90000042   0.75724080  -0.66238799   0.24251645  -0.28685837
  1.88357251   0.77366871  -0.67621085   0.23807999  -0.29010131
  1.86681033   0.79043089  -0.68962639   0.23159595  -0.29518358
  1.86681033   0.79043089  -0.68962639   0.23079880  -0.29574132
  1.84972396   0.80751727  -0.70262652   0.22414249  -0.30104532
  1.84972396   0.80751727  -0.70262652   0.22357451  -0.30145534
  1.83232369   0.82491753  -0.71520342   0.21844653  -0.30559154
  1.83232369   0.82491753  -0.71520342   0.21663301  -0.30707293
  1.83232369   0.82491753  -0.71520342   0.21640889  -0.30727701
  1.83232369   0.82491753  -0.71520342   0.21601041  -0.30763926
  1.81462001   0.84262121  -0.72734951   0.20933022  -0.31328481
  1.79662359   0.86061763  -0.73905747   0.20522723  -0.31676473
  1.81256953   0.86230036  -0.75031950   0.20233417  -0.31952058
  1.81256953   0.86230036  -0.75031950   0.20019178  -0.32137031
  1.79401267   0.88085722  -0.76175391   0.19561864  -0.32571697
  1.79401267   0.88085722  -0.76175391   0.19544044  -0.32587957
  1.79401267   0.88085722  -0.76175391   0.19536809  -0.32595197
  1.77518078   0.89968911  -0.77272946   0.19055279  -0.33025849
  1.79074305   0.90202300  -0.78440514   0.18839312  -0.33256037
  1.79074305   0.90202300  -0.78440514   0.18615420  -0.33454927
  1.77135895   0.92140710  -0.79507403   0.18324418  -0.33768155
  1.77135895   0.92140710  -0.79507403   0.18146409  -0.33949544
  1.76687544   0.94405605  -0.81733069   0.17632270  -0.34489900
  1.76687544   0.94405605  -0.81733069   0.17452846  -0.34672851
  1.76687544   0.94405605  -0.81733069   0.17443802  -0.34700049
  1.76687544   0.94405605  -0.81733069   0.17393171  -0.34734953
  1.76172652   0.96764151  -0.83947585   0.16756167  -0.35427938
  1.76172652   0.96764151  -0.83947585   0.16707578  -0.35538536
  1.77693598   0.97114152  -0.85185463   0.16562316  -0.35889755
  1.75590908   0.99216842  -0.86148566   0.16072304  -0.36258536
  1.75590908   0.99216842  -0.86148566   0.16053471  -0.36301395
  1.75590908   0.99216842  -0.86148566   0.15956843  -0.36422775
  1.74942063   1.01764115  -0.88333597   0.15729970  -0.36897415
  1.74942063   1.01764115  -0.88333597   0.15655699  -0.37058526
